,data,energia_usada,v1,v2,v3,v4,v5,v6,v7,v8,v9,dia,semana,mes
128,2018-02-01 08:15:00,29.02,18.83,0.07,0.0,83.89,100.0,29700,dia_da_semana,terca_feira,carga_leve,1,5,2
129,2018-02-01 08:30:00,46.19,28.66,0.0,0.0,84.97,100.0,30600,dia_da_semana,terca_feira,carga_leve,1,5,2
130,2018-02-01 08:45:00,52.06,35.32,0.0,0.0,82.75,100.0,31500,dia_da_semana,terca_feira,carga_leve,1,5,2
131,2018-02-01 09:00:00,56.2,12.53,0.11,0.0,97.6,100.0,32400,dia_da_semana,terca_feira,carga_leve,1,5,2
132,2018-02-01 09:15:00,56.84,8.32,0.0,0.0,98.95,100.0,33300,dia_da_semana,terca_feira,carga_media,1,5,2
133,2018-02-01 09:30:00,51.26,4.54,0.94,0.0,99.61,99.98,34200,dia_da_semana,terca_feira,carga_media,1,5,2
134,2018-02-01 09:45:00,48.13,2.34,1.15,0.0,99.88,99.97,35100,dia_da_semana,terca_feira,carga_media,1,5,2
135,2018-02-01 10:00:00,52.81,7.06,0.54,0.0,99.12,99.99,36000,dia_da_semana,terca_feira,carga_media,1,5,2
136,2018-02-01 10:15:00,54.79,7.52,0.14,0.0,99.07,100.0,36900,dia_da_semana,terca_feira,carga_maxima,1,5,2
137,2018-02-01 10:30:00,53.21,8.35,0.11,0.0,98.79,100.0,37800,dia_da_semana,terca_feira,carga_maxima,1,5,2
138,2018-02-01 10:45:00,80.21,32.4,0.0,0.0,92.72,100.0,38700,dia_da_semana,terca_feira,carga_maxima,1,5,2
139,2018-02-01 11:00:00,77.58,25.49,0.0,0.0,95.0,100.0,39600,dia_da_semana,terca_feira,carga_maxima,1,5,2
142,2018-02-01 11:45:00,90.86,54.29,0.0,0.0,85.84,100.0,42300,dia_da_semana,terca_feira,carga_maxima,1,5,2
144,2018-02-01 12:15:00,19.22,5.54,18.9,0.0,96.09,71.3,44100,dia_da_semana,terca_feira,carga_media,1,5,2
148,2018-02-01 13:15:00,79.67,27.29,6.52,0.0,94.6,99.67,47700,dia_da_semana,terca_feira,carga_media,1,5,2
149,2018-02-01 13:30:00,97.85,46.8,0.0,0.0,90.21,100.0,48600,dia_da_semana,terca_feira,carga_media,1,5,2
151,2018-02-01 14:00:00,108.61,43.34,0.0,0.0,92.88,100.0,50400,dia_da_semana,terca_feira,carga_media,1,5,2
152,2018-02-01 14:15:00,123.12,55.26,0.0,0.0,91.23,100.0,51300,dia_da_semana,terca_feira,carga_media,1,5,2
154,2018-02-01 14:45:00,82.08,27.58,0.0,0.0,94.79,100.0,53100,dia_da_semana,terca_feira,carga_media,1,5,2
156,2018-02-01 15:15:00,86.9,34.27,0.0,0.0,93.03,100.0,54900,dia_da_semana,terca_feira,carga_media,1,5,2
158,2018-02-01 15:45:00,116.53,52.88,0.0,0.0,91.06,100.0,56700,dia_da_semana,terca_feira,carga_media,1,5,2
161,2018-02-01 16:30:00,85.72,34.85,0.0,0.0,92.64,100.0,59400,dia_da_semana,terca_feira,carga_media,1,5,2
163,2018-02-01 17:00:00,86.94,30.78,0.0,0.0,94.27,100.0,61200,dia_da_semana,terca_feira,carga_media,1,5,2
164,2018-02-01 17:15:00,67.25,25.81,0.0,0.0,93.36,100.0,62100,dia_da_semana,terca_feira,carga_maxima,1,5,2
165,2018-02-01 17:30:00,115.78,50.04,0.0,0.0,91.79,100.0,63000,dia_da_semana,terca_feira,carga_maxima,1,5,2
166,2018-02-01 17:45:00,113.11,34.63,0.0,0.0,95.62,100.0,63900,dia_da_semana,terca_feira,carga_maxima,1,5,2
167,2018-02-01 18:00:00,76.75,11.74,1.04,0.0,98.85,99.99,64800,dia_da_semana,terca_feira,carga_maxima,1,5,2
168,2018-02-01 18:15:00,41.9,15.23,0.14,0.0,93.98,100.0,65700,dia_da_semana,terca_feira,carga_maxima,1,5,2
169,2018-02-01 18:30:00,37.4,19.94,0.0,0.0,88.24,100.0,66600,dia_da_semana,terca_feira,carga_maxima,1,5,2
170,2018-02-01 18:45:00,40.25,8.82,0.5,0.0,97.68,99.99,67500,dia_da_semana,terca_feira,carga_maxima,1,5,2
171,2018-02-01 19:00:00,34.92,1.98,1.58,0.0,99.84,99.9,68400,dia_da_semana,terca_feira,carga_maxima,1,5,2
172,2018-02-01 19:15:00,41.36,6.44,0.43,0.0,98.81,99.99,69300,dia_da_semana,terca_feira,carga_maxima,1,5,2
173,2018-02-01 19:30:00,35.96,2.52,1.37,0.0,99.76,99.93,70200,dia_da_semana,terca_feira,carga_maxima,1,5,2
174,2018-02-01 19:45:00,39.42,5.29,0.47,0.0,99.11,99.99,71100,dia_da_semana,terca_feira,carga_maxima,1,5,2
175,2018-02-01 20:00:00,38.16,4.68,0.5,0.0,99.26,99.99,72000,dia_da_semana,terca_feira,carga_maxima,1,5,2
176,2018-02-01 20:15:00,33.23,1.51,3.96,0.0,99.9,99.3,72900,dia_da_semana,terca_feira,carga_media,1,5,2
177,2018-02-01 20:30:00,25.88,0.0,12.13,0.0,100.0,90.55,73800,dia_da_semana,terca_feira,carga_media,1,5,2
224,2018-03-01 08:15:00,37.01,21.56,0.0,0.02,86.41,100.0,29700,dia_da_semana,quarta_feira,carga_leve,1,9,3
225,2018-03-01 08:30:00,74.59,35.86,0.0,0.03,90.13,100.0,30600,dia_da_semana,quarta_feira,carga_leve,1,9,3
226,2018-03-01 08:45:00,109.48,53.32,0.0,0.05,89.9,100.0,31500,dia_da_semana,quarta_feira,carga_leve,1,9,3
227,2018-03-01 09:00:00,105.08,31.82,0.0,0.05,95.71,100.0,32400,dia_da_semana,quarta_feira,carga_leve,1,9,3
228,2018-03-01 09:15:00,121.79,41.26,0.0,0.06,94.71,100.0,33300,dia_da_semana,quarta_feira,carga_media,1,9,3
229,2018-03-01 09:30:00,114.48,30.24,0.0,0.05,96.68,100.0,34200,dia_da_semana,quarta_feira,carga_media,1,9,3
230,2018-03-01 09:45:00,74.2,21.96,0.0,0.03,95.89,100.0,35100,dia_da_semana,quarta_feira,carga_media,1,9,3
231,2018-03-01 10:00:00,54.32,7.13,0.04,0.02,99.15,100.0,36000,dia_da_semana,quarta_feira,carga_media,1,9,3
232,2018-03-01 10:15:00,75.17,25.06,0.0,0.03,94.87,100.0,36900,dia_da_semana,quarta_feira,carga_maxima,1,9,3
233,2018-03-01 10:30:00,58.07,12.24,0.0,0.03,97.85,100.0,37800,dia_da_semana,quarta_feira,carga_maxima,1,9,3
234,2018-03-01 10:45:00,67.03,15.08,0.0,0.03,97.56,100.0,38700,dia_da_semana,quarta_feira,carga_maxima,1,9,3
235,2018-03-01 11:00:00,74.59,31.64,0.04,0.03,92.06,100.0,39600,dia_da_semana,quarta_feira,carga_maxima,1,9,3
236,2018-03-01 11:15:00,57.56,23.9,0.0,0.03,92.36,100.0,40500,dia_da_semana,quarta_feira,carga_maxima,1,9,3
237,2018-03-01 11:30:00,78.62,48.06,0.0,0.04,85.32,100.0,41400,dia_da_semana,quarta_feira,carga_maxima,1,9,3
238,2018-03-01 11:45:00,69.16,44.17,0.0,0.03,84.28,100.0,42300,dia_da_semana,quarta_feira,carga_maxima,1,9,3
239,2018-03-01 12:00:00,74.05,44.78,0.0,0.03,85.57,100.0,43200,dia_da_semana,quarta_feira,carga_maxima,1,9,3
244,2018-03-01 13:15:00,51.26,21.38,6.08,0.02,92.29,99.3,47700,dia_da_semana,quarta_feira,carga_media,1,9,3
245,2018-03-01 13:30:00,52.7,13.64,0.0,0.02,96.81,100.0,48600,dia_da_semana,quarta_feira,carga_media,1,9,3
246,2018-03-01 13:45:00,55.84,17.24,0.0,0.03,95.55,100.0,49500,dia_da_semana,quarta_feira,carga_media,1,9,3
247,2018-03-01 14:00:00,57.2,17.32,0.0,0.03,95.71,100.0,50400,dia_da_semana,quarta_feira,carga_media,1,9,3
248,2018-03-01 14:15:00,76.57,30.6,0.0,0.04,92.86,100.0,51300,dia_da_semana,quarta_feira,carga_media,1,9,3
249,2018-03-01 14:30:00,61.13,20.45,0.0,0.03,94.83,100.0,52200,dia_da_semana,quarta_feira,carga_media,1,9,3
250,2018-03-01 14:45:00,66.74,26.42,0.0,0.03,92.98,100.0,53100,dia_da_semana,quarta_feira,carga_media,1,9,3
251,2018-03-01 15:00:00,55.8,16.42,0.0,0.03,95.93,100.0,54000,dia_da_semana,quarta_feira,carga_media,1,9,3
252,2018-03-01 15:15:00,57.46,18.25,0.0,0.03,95.31,100.0,54900,dia_da_semana,quarta_feira,carga_media,1,9,3
253,2018-03-01 15:30:00,71.28,28.08,0.0,0.03,93.04,100.0,55800,dia_da_semana,quarta_feira,carga_media,1,9,3
254,2018-03-01 15:45:00,73.15,28.62,0.0,0.03,93.13,100.0,56700,dia_da_semana,quarta_feira,carga_media,1,9,3
255,2018-03-01 16:00:00,68.98,25.81,0.0,0.03,93.66,100.0,57600,dia_da_semana,quarta_feira,carga_media,1,9,3
256,2018-03-01 16:15:00,85.0,27.79,0.0,0.04,95.05,100.0,58500,dia_da_semana,quarta_feira,carga_media,1,9,3
257,2018-03-01 16:30:00,116.53,41.9,0.0,0.05,94.1,100.0,59400,dia_da_semana,quarta_feira,carga_media,1,9,3
258,2018-03-01 16:45:00,118.62,39.06,0.0,0.05,94.98,100.0,60300,dia_da_semana,quarta_feira,carga_media,1,9,3
259,2018-03-01 17:00:00,105.05,35.64,0.0,0.05,94.7,100.0,61200,dia_da_semana,quarta_feira,carga_media,1,9,3
261,2018-03-01 17:30:00,114.01,41.15,0.0,0.05,94.06,100.0,63000,dia_da_semana,quarta_feira,carga_maxima,1,9,3
263,2018-03-01 18:00:00,73.62,13.25,1.69,0.03,98.42,99.97,64800,dia_da_semana,quarta_feira,carga_maxima,1,9,3
264,2018-03-01 18:15:00,36.22,12.74,0.54,0.02,94.33,99.99,65700,dia_da_semana,quarta_feira,carga_maxima,1,9,3
265,2018-03-01 18:30:00,39.82,18.43,0.0,0.02,90.75,100.0,66600,dia_da_semana,quarta_feira,carga_maxima,1,9,3
266,2018-03-01 18:45:00,37.08,4.18,1.94,0.02,99.37,99.86,67500,dia_da_semana,quarta_feira,carga_maxima,1,9,3
267,2018-03-01 19:00:00,42.98,5.47,0.18,0.02,99.2,100.0,68400,dia_da_semana,quarta_feira,carga_maxima,1,9,3
268,2018-03-01 19:15:00,37.94,0.86,1.58,0.02,99.97,99.91,69300,dia_da_semana,quarta_feira,carga_maxima,1,9,3
269,2018-03-01 19:30:00,39.71,3.74,0.79,0.02,99.56,99.98,70200,dia_da_semana,quarta_feira,carga_maxima,1,9,3
270,2018-03-01 19:45:00,43.2,5.69,0.18,0.02,99.14,100.0,71100,dia_da_semana,quarta_feira,carga_maxima,1,9,3
271,2018-03-01 20:00:00,37.33,1.19,1.66,0.02,99.95,99.9,72000,dia_da_semana,quarta_feira,carga_maxima,1,9,3
272,2018-03-01 20:15:00,41.0,5.62,0.54,0.02,99.07,99.99,72900,dia_da_semana,quarta_feira,carga_media,1,9,3
273,2018-03-01 20:30:00,37.3,2.88,1.22,0.02,99.7,99.95,73800,dia_da_semana,quarta_feira,carga_media,1,9,3
274,2018-03-01 20:45:00,32.72,2.02,6.98,0.02,99.81,97.8,74700,dia_da_semana,quarta_feira,carga_media,1,9,3
320,2018-04-01 08:15:00,83.23,51.73,0.0,0.04,84.93,100.0,29700,dia_da_semana,quinta_feira,carga_leve,1,13,4
322,2018-04-01 08:45:00,108.29,75.82,0.0,0.05,81.92,100.0,31500,dia_da_semana,quinta_feira,carga_leve,1,13,4
327,2018-04-01 10:00:00,111.49,39.17,0.0,0.05,94.35,100.0,36000,dia_da_semana,quinta_feira,carga_media,1,13,4
329,2018-04-01 10:30:00,96.66,30.89,0.0,0.04,95.25,100.0,37800,dia_da_semana,quinta_feira,carga_maxima,1,13,4
331,2018-04-01 11:00:00,78.37,28.94,0.0,0.04,93.81,100.0,39600,dia_da_semana,quinta_feira,carga_maxima,1,13,4
332,2018-04-01 11:15:00,104.8,59.04,0.0,0.05,87.13,100.0,40500,dia_da_semana,quinta_feira,carga_maxima,1,13,4
334,2018-04-01 11:45:00,113.11,60.19,0.0,0.05,88.28,100.0,42300,dia_da_semana,quinta_feira,carga_maxima,1,13,4
340,2018-04-01 13:15:00,78.37,21.24,1.19,0.04,96.52,99.99,47700,dia_da_semana,quinta_feira,carga_media,1,13,4
342,2018-04-01 13:45:00,105.12,33.66,0.0,0.05,95.24,100.0,49500,dia_da_semana,quinta_feira,carga_media,1,13,4
343,2018-04-01 14:00:00,120.6,41.4,0.0,0.06,94.58,100.0,50400,dia_da_semana,quinta_feira,carga_media,1,13,4
344,2018-04-01 14:15:00,117.97,41.72,0.0,0.05,94.28,100.0,51300,dia_da_semana,quinta_feira,carga_media,1,13,4
345,2018-04-01 14:30:00,121.93,43.56,0.0,0.06,94.17,100.0,52200,dia_da_semana,quinta_feira,carga_media,1,13,4
346,2018-04-01 14:45:00,121.07,44.35,0.0,0.06,93.9,100.0,53100,dia_da_semana,quinta_feira,carga_media,1,13,4
347,2018-04-01 15:00:00,115.42,38.45,0.0,0.05,94.87,100.0,54000,dia_da_semana,quinta_feira,carga_media,1,13,4
348,2018-04-01 15:15:00,115.49,41.15,0.0,0.05,94.2,100.0,54900,dia_da_semana,quinta_feira,carga_media,1,13,4
349,2018-04-01 15:30:00,101.92,39.06,0.0,0.05,93.38,100.0,55800,dia_da_semana,quinta_feira,carga_media,1,13,4
351,2018-04-01 16:00:00,118.94,49.97,0.0,0.05,92.19,100.0,57600,dia_da_semana,quinta_feira,carga_media,1,13,4
353,2018-04-01 16:30:00,88.27,28.73,0.0,0.04,95.09,100.0,59400,dia_da_semana,quinta_feira,carga_media,1,13,4
354,2018-04-01 16:45:00,119.99,38.99,0.0,0.06,95.1,100.0,60300,dia_da_semana,quinta_feira,carga_media,1,13,4
355,2018-04-01 17:00:00,97.63,37.26,0.0,0.04,93.43,100.0,61200,dia_da_semana,quinta_feira,carga_media,1,13,4
357,2018-04-01 17:30:00,122.04,51.44,0.0,0.06,92.15,100.0,63000,dia_da_semana,quinta_feira,carga_maxima,1,13,4
358,2018-04-01 17:45:00,43.06,1.94,3.46,0.02,99.9,99.68,63900,dia_da_semana,quinta_feira,carga_maxima,1,13,4
