,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
0,57,616,2,1,3,-153263.20075894924,0.23,42658.02,-152949.23773174925
1,45,591,1,1,1,161474.30730573952,0.24,248327.61,161474.30730573952
2,59,613,1,1,1,14209.331170472313,0.09,24371.94,14275.135408472313
3,62,656,1,1,1,-77270.8971615558,0.17,48788.04,-77171.3695599558
4,45,567,2,1,5,282353.1824904715,0.22,47808.66,283289.2760532715
5,40,300,1,1,1,186133.53589746484,0.12,31875.4,186611.66689746483
6,35,318,1,1,1,101335.18715003086,0.03,31627.77,101477.51211503087
7,57,545,1,1,1,-129635.97651341364,0.08,90134.48,-129578.29044621364
8,44,316,1,1,1,-164230.28973520375,0.29,153383.25,-163696.51602520375
9,54,538,2,1,5,-100385.68158060308,0.23,30736.38,-99996.86637360307
10,40,316,1,1,1,-256997.4062920032,0.12,46493.72,-256316.7382312032
11,61,621,2,1,3,16199.820562777051,0.25,125928.79,16199.820562777051
12,46,591,1,1,1,43015.849398840575,0.24,81370.26,44246.16773004057
13,58,613,1,1,1,-177223.18834805524,0.12,61418.26,-177016.82299445523
14,40,644,3,1,5,16123.378077014168,0.25,45892.81,17442.796364514168
15,45,644,2,1,5,144259.26616964306,0.18,29561.58,144791.37460964307
16,48,352,1,1,1,-122897.38481720704,0.17,109107.45,-122378.03335520704
17,62,619,1,1,1,3663.075987899144,0.03,187001.88,3663.075987899144
18,44,300,1,1,1,489740.55883946974,0.35,28075.64,490772.33860946976
19,52,587,1,1,1,68323.38367680064,0.35,39124.78,69213.47242180064
20,57,561,1,1,1,-39909.54341443597,0.22,63026.22,-39465.83882563597
21,56,561,1,1,1,15876.285102139278,0.23,123495.81,15876.285102139278
22,47,308,1,1,1,481647.3761496623,0.12,62843.4,482250.6727896623
23,42,617,2,1,3,273340.95536635723,0.24,20743.65,273913.48010635725
24,42,286,1,1,1,32885.36982068384,0.04,58682.2,33134.18234868384
25,41,346,1,1,1,-92628.20629301402,0.19,173856.79,-92231.81281181403
26,36,308,1,1,1,-17091.54788181004,0.01,68757.75,-17000.78765181004
27,49,308,1,1,1,51771.2351944449,0.17,39639.95,52310.3385144449
28,37,310,1,1,1,99042.6361841256,0.13,79011.7,100193.0465361256
29,41,288,1,1,1,-48963.55036090561,0.19,91329.38,-47627.40153150561
30,37,321,1,1,1,200707.693351556,0.01,47179.61,200771.857621156
31,41,339,1,1,1,-170263.2794560638,0.16,18738.56,-169903.4991040638
32,57,578,1,1,1,103153.5479678066,0.07,7661.9,103175.0012878066
33,52,331,1,1,1,47346.89854924133,0.34,144416.22,47346.89854924133
34,62,656,1,1,1,-250673.97571426656,0.22,41928.62,-250544.83556466657
35,53,621,3,1,1,-192482.046027303,0.1,27982.2,-192482.046027303
36,46,660,3,1,3,228424.97414615643,0.02,34971.71,228489.32209255642
37,36,318,1,1,1,-117105.97405042702,0.04,187300.95,-116926.16513842702
38,36,562,1,1,1,248088.42173158744,0.14,31657.03,248731.05944058744
39,53,587,3,1,5,-29999.525192713496,0.12,211309.96,-29999.525192713496
40,44,647,1,1,1,-145485.470259673,0.16,51887.25,-144663.57621967298
41,52,551,1,1,1,38423.50199144202,0.32,68751.27,39567.52312424202
42,61,572,2,1,3,312897.41328443354,0.15,133564.14,312897.41328443354
43,58,561,1,1,1,115164.68494862856,0.3,42458.79,115597.76460662857
44,61,591,1,1,1,-288024.5286338032,0.03,53212.75,-287998.9865138032
45,58,578,3,1,3,-76152.12977154632,0.19,21363.84,-76010.06023554632
46,59,552,1,1,1,70608.95330695083,0.3,68136.23,71099.53416295083
47,47,352,1,1,1,-16805.635923251513,0.31,13052.38,-16441.47452125151
48,43,343,2,1,4,-74450.23492616149,0.26,39049.45,-74450.23492616149
49,58,299,2,1,2,54474.15652553393,0.21,10855.47,54553.94423003393
50,63,277,2,1,2,13275.353696893955,0.16,30094.21,13323.504432893955
51,58,614,1,1,1,26081.51110228662,0.32,74806.7,26560.273982286617
52,57,561,3,1,3,-156766.05452016505,0.15,129884.1,-156766.05452016505
53,57,561,2,1,5,53907.622742241954,0.33,78668.12,53907.622742241954
54,36,586,2,1,5,-300932.71179366106,0.08,56216.08,-300384.04285286105
55,41,345,3,1,3,-155386.19432056436,0.12,88141.94,-154878.49674616437
56,45,345,2,1,3,-318099.0412904626,0.06,7139.79,-318056.2025504626
57,56,561,1,1,1,2461.4020875907363,0.15,174692.59,2461.4020875907363
58,54,323,3,4,2,-231146.0318660896,0.34,24218.73,-230693.14161508958
59,54,309,2,4,3,-12806.915851703556,0.33,104263.74,-12806.915851703556
60,49,336,1,1,1,231441.34599615284,0.03,61816.81,231571.16129715284
61,42,319,1,1,1,130759.59859973984,0.15,157907.15,131138.57575973985
62,44,339,3,1,3,-304540.0210990801,0.12,94991.87,-304220.8484158801
63,59,339,2,1,3,90914.20617094856,0.22,376312.67,90914.20617094856
64,61,591,3,1,3,11859.406414273508,0.06,55895.78,11886.236388673507
65,52,591,1,1,1,-36269.28292974959,0.3,49733.75,-35374.075429749595
66,46,308,3,4,5,90987.8405475623,0.17,61559.74,91636.6802071623
67,39,587,3,1,1,77235.72721445581,0.02,59571.22,77235.72721445581
68,53,621,1,1,1,-103836.88056915942,0.01,37751.87,-103814.22944715942
69,38,318,2,1,5,-234147.52690218712,0.31,75290.88,-232326.99342378712
70,39,318,3,1,5,48841.01844383768,0.12,88026.35,49443.11867783768
71,56,614,1,1,1,17052.563325526007,0.1,79522.49,17243.417301526006
72,36,360,2,1,5,-41291.95872972282,0.25,73312.87,-39605.76271972282
73,35,332,1,1,1,154144.34565725044,0.12,159441.68,154986.19772765043
74,41,562,1,1,1,-60060.31403003638,0.15,21611.6,-59671.30523003638
75,53,551,3,1,3,-22383.21130112624,0.18,122493.94,-22383.21130112624
76,51,551,3,1,3,68897.18315702399,0.24,20579.23,69242.914221024
77,46,551,2,1,5,-36004.11969600011,0.21,130420.85,-36004.11969600011
78,61,521,3,1,3,-281223.5202413987,0.09,161155.25,-281223.5202413987
79,58,578,1,1,1,295660.46547998633,0.24,63965.45,296090.31330398633
80,63,638,2,1,3,141930.75546871268,0.23,51753.44,142025.98179831268
81,58,578,1,1,1,-218667.17030405908,0.29,160078.61,-218667.17030405908
82,58,613,1,1,1,-142302.07128242185,0.17,56648.2,-142032.42585042186
83,60,656,3,1,3,23880.757771127057,0.31,69421.76,23880.757771127057
84,61,525,2,1,5,-65315.48036080689,0.2,28219.27,-65202.60328080689
85,61,545,1,1,1,-117564.03148357036,0.26,39916.74,-117356.46443557036
86,60,299,1,1,1,566626.7210408133,0.09,52771.61,566721.7099388132
87,44,304,1,1,1,58241.12243267061,0.2,104522.24,59244.53593667061
88,40,286,3,1,5,-149009.61201093585,0.07,57160.46,-148601.48632653584
89,40,336,1,1,1,68205.02537586076,0.2,95143.59,69670.23666186076
90,59,308,1,1,1,-5160.777793190488,0.05,144027.12,-5160.777793190488
91,48,302,1,1,1,-15102.0281018622,0.2,87203.32,-14264.8762298622
92,42,337,1,1,1,12453.799121462103,0.29,14758.88,12946.007769462103
93,54,621,1,1,1,-98606.17089825076,0.09,10895.86,-98552.23639125076
94,63,354,3,1,3,-141460.4576426003,0.32,21636.64,-141391.2203946003
95,46,308,1,1,1,-112742.5766807204,0.31,64365.24,-111066.5058311204
96,35,344,1,1,1,85714.04587024963,0.33,58251.76,88424.50026304963
97,61,350,3,1,3,41240.72846860808,0.12,198938.74,41240.72846860808
98,47,644,1,1,1,123068.31747253932,0.09,52899.96,123468.24117013931
99,59,613,3,1,3,-75397.65738214241,0.01,25503.55,-75390.00631714241
100,52,569,2,1,3,1848.4674081593148,0.04,54640.49,1953.3771489593148
101,48,593,3,1,5,19046.270499889462,0.25,160142.23,19046.270499889462
102,61,619,3,1,3,-52402.52717317276,0.16,113877.45,-52402.52717317276
103,39,318,3,1,3,95933.85247965416,0.05,57786.34,96243.00939865416
104,37,318,2,1,3,7424.720190636249,0.25,63316.68,9055.124700636248
105,59,593,2,1,3,137729.87877768106,0.28,37000.06,137988.87919768106
106,45,593,3,1,3,40014.55173178135,0.01,215954.02,40014.55173178135
107,58,587,1,1,1,371793.1304393215,0.23,62727.65,372197.0965053215
108,47,578,3,1,3,-99001.55058647488,0.25,28268.3,-98365.51383647489
109,63,615,3,1,3,-195721.7965811589,0.01,111729.39,-195721.7965811589
110,49,305,1,1,1,91594.17743422095,0.04,75531.16,91766.38847902096
111,49,302,1,1,1,162338.2463931727,0.13,112679.4,162631.2128331727
112,49,294,1,1,1,192751.98608077937,0.07,32318.91,192932.97197677937
113,62,621,2,1,3,33630.11407302681,0.1,125234.53,33630.11407302681
114,59,578,1,1,1,24171.20366299901,0.14,110307.02,24171.20366299901
115,52,625,2,1,5,256293.80563946,0.01,57453.19,256319.08504306
116,47,660,1,1,1,-126034.98436208656,0.18,29245.92,-125561.20045808656
117,53,569,2,1,3,45757.19302455328,0.18,77382.99,45924.34028295328
118,51,594,1,1,1,-33427.59410116461,0.09,80367.6,-33109.338405164606
119,61,621,1,1,1,100153.81049732308,0.02,88950.05,100153.81049732308
120,60,656,1,1,1,-88379.62579785292,0.07,43351.34,-88309.83014045292
121,48,295,2,1,3,-224387.47380531963,0.33,102636.11,-224251.99414011964
122,48,316,3,1,4,-23648.75344788534,0.35,44450.44,-23648.75344788534
123,52,551,3,1,3,13119.787106220894,0.19,90855.46,13119.787106220894
124,61,572,2,1,3,-100762.9845913296,0.29,84754.5,-100762.9845913296
125,61,234,2,3,3,37497.14759878947,0.32,29860.2,37688.25287878947
126,46,320,3,1,5,-128427.9618024882,0.05,70151.9,-128259.59724248819
127,42,320,3,1,3,-141939.99621777798,0.06,53562.48,-141625.048835378
128,39,345,2,1,5,111441.6532049696,0.1,60305.96,112056.7739969696
129,52,281,1,1,1,-185846.0331145129,0.28,58115.38,-184934.7839561129
130,47,336,1,1,1,78009.97737503791,0.26,99067.06,79040.27479903791
131,43,286,1,1,1,-125129.87124045928,0.0,51966.2,-125129.87124045928
132,45,660,3,1,5,141408.59409807788,0.24,53886.98,142469.0898644779
133,51,294,1,1,1,-103227.75913656502,0.26,23442.32,-102801.10891256502
134,48,647,2,1,3,268609.7489375139,0.23,73566.19,269218.87699071394
135,43,647,3,1,3,-101251.57768616812,0.12,85494.99,-100800.16413896812
136,62,551,1,1,1,81473.81949865304,0.01,109908.68,81473.81949865304
137,55,616,2,1,3,-27932.26234443296,0.2,30310.7,-27629.15534443296
138,60,591,1,1,1,14841.9098354652,0.22,94887.7,14841.9098354652
139,56,578,3,1,3,-80557.92261113154,0.05,26025.03,-80499.36629363154
140,41,313,1,1,1,41117.70627242291,0.33,114119.75,42925.363112422914
141,44,343,1,1,1,-110688.9967095426,0.34,157461.39,-110260.7017287426
142,56,614,3,1,3,71227.91380542977,0.07,22644.36,71299.24353942976
143,42,301,1,1,1,-121148.04553647494,0.25,123353.9,-119914.50653647493
144,36,309,1,1,1,-283621.484612912,0.35,48445.99,-281230.67500641197
145,38,309,1,1,1,-89224.19803506618,0.04,88139.92,-88896.31753266617
146,56,309,2,1,3,34649.310858522986,0.32,69145.72,34826.323901722986
147,39,309,3,1,5,-143656.70286273304,0.27,32475.48,-142534.35027393306
148,59,616,2,1,2,8308.1430673426,0.14,164074.42,8308.1430673426
149,63,579,3,1,3,-19851.525100317973,0.02,36641.65,-19845.662436317973
150,43,579,2,1,3,110978.578445517,0.1,11150.01,111101.22855551701
151,56,666,1,1,1,-92243.11306176538,0.21,50002.81,-91823.08945776538
152,44,666,3,1,5,169697.1079381156,0.02,60947.42,169786.0911713156
153,41,328,1,1,1,32657.40996676645,0.13,38868.96,33263.765742766445
154,38,328,1,1,1,-3020.0150899846744,0.13,63013.24,-1996.049939984674
155,42,591,1,1,1,-64389.0430594834,0.2,19861.26,-63932.2340794834
156,48,660,1,1,1,-274492.0067383053,0.06,43646.5,-274274.64716830535
157,40,300,3,1,2,74757.44698667098,0.13,53896.68,75507.14980547098
158,41,300,2,1,5,-157394.15669368842,0.26,74255.69,-156100.62257388842
159,63,663,3,1,3,-105870.1895272634,0.08,42006.6,-105843.3053032634
160,60,614,1,1,1,62668.138839211264,0.02,101508.46,62668.138839211264
161,56,550,2,1,3,634590.6708282295,0.23,140292.64,634590.6708282295
162,52,587,3,1,3,-301269.1922862795,0.01,48102.79,-301243.2167796795
163,62,278,3,1,3,-34827.19201069689,0.1,77767.88,-34827.19201069689
164,40,345,1,1,1,70789.52191176618,0.07,111472.45,71234.29698726618
165,57,359,2,4,3,52285.80463702983,0.01,95411.43,52285.80463702983
166,50,317,3,1,3,7417.363575260744,0.16,84297.0,7633.1638952607445
167,47,315,1,1,1,-123906.24690713736,0.29,65756.83,-122399.75793183736
168,63,656,1,1,1,62001.81409711784,0.31,120827.57,62001.81409711784
169,53,621,3,1,5,-91037.871744777,0.01,20949.18,-91025.302236777
170,60,656,3,1,3,234119.84024046463,0.18,106481.19,234119.84024046463
171,57,551,1,1,1,88725.62806231248,0.02,140781.32,88725.62806231248
172,61,521,1,1,1,-12888.94858958734,0.31,29014.57,-12709.05825558734
173,50,551,3,1,5,-97233.82075859056,0.07,19770.57,-97130.02526609057
174,42,278,2,1,3,-13350.80457041318,0.34,86024.03,-12063.88508161318
175,53,331,1,1,1,21537.37814086863,0.29,55537.47,22374.88318846863
176,42,332,3,4,3,58061.34464492171,0.32,48537.79,59676.68229612171
177,38,313,3,1,2,-35402.143310300984,0.02,146662.65,-35366.944274300986
178,37,357,2,1,5,151715.25589027497,0.18,42247.37,152719.053401475
179,55,616,2,1,3,47156.2698422152,0.17,87771.61,47156.2698422152
180,51,594,1,1,1,-61201.89511457091,0.35,23320.12,-60630.552174570905
181,45,591,3,1,3,-79096.04505367641,0.22,42604.06,-78233.73887927641
182,57,562,2,1,3,236171.9968276771,0.25,24846.6,236420.46282767708
183,57,613,1,1,1,47872.33536446839,0.02,36325.84,47901.39603646839
184,56,550,2,1,3,726941.1368131585,0.17,41008.89,727206.0542425585
185,47,593,1,1,1,489696.7837195629,0.09,88146.36,490077.57599476294
186,58,614,1,1,1,740381.6431887951,0.02,13044.17,740390.7741077951
187,38,318,1,1,1,116477.6065014968,0.04,30077.11,116640.0228954968
188,57,545,2,1,3,16467.99678445813,0.22,91619.36,16467.99678445813
189,54,561,1,1,1,77480.99346966618,0.03,120044.24,77480.99346966618
190,52,294,1,1,1,14255.68297581187,0.14,180701.58,14255.68297581187
191,51,315,1,1,1,18151.864244254142,0.13,28341.54,18409.772258254143
192,35,313,1,1,1,-55020.413722034325,0.04,140469.02,-54700.14435643433
193,57,660,1,1,1,71160.93739660742,0.07,86435.52,71233.54323340741
194,38,313,1,1,1,77018.3531855649,0.32,168009.51,78308.6662223649
195,41,300,1,1,1,94420.47725503628,0.09,12123.9,94551.41537503629
196,50,322,3,1,3,-97046.9446753114,0.06,97117.62,-97023.6364465114
197,36,306,2,1,5,7789.398865698812,0.16,94730.34,8729.123838498812
198,37,306,3,1,3,-26954.691312988783,0.16,45720.41,-26003.706784988783
199,49,338,2,1,3,-60172.45841953243,0.16,87047.13,-59949.61776673243
200,45,266,1,1,1,-107629.67983594596,0.19,133606.92,-107121.97353994596
201,50,336,1,1,1,448467.57118270645,0.31,98259.53,449320.46390310646
202,35,338,1,4,1,81187.16888335101,0.04,7315.7,81231.06308335101
203,56,578,3,1,3,10963.066074047883,0.12,110367.45,10963.066074047883
204,47,315,3,1,3,-55023.80023558719,0.08,22553.47,-54861.41525158719
205,41,315,2,1,3,19138.351018535013,0.13,33720.31,19651.236933635013
206,42,328,1,1,1,58195.93590851216,0.2,86326.63,59525.36601051216
207,58,616,2,1,5,-66794.24432638362,0.12,48719.25,-66630.54764638362
208,62,350,1,1,1,25021.72851917536,0.33,74804.85,25120.47092117536
209,48,660,2,1,3,29774.500860311487,0.31,3258.46,29860.36128131149
210,49,660,3,1,5,-39718.10504550262,0.22,34416.66,-39135.08682510262
211,51,331,3,1,3,85609.03374787928,0.27,74450.97,86091.47603347928
212,46,352,1,1,1,89115.88198097725,0.16,72442.97,90008.37937137726
213,47,567,2,1,3,26681.19872580972,0.06,79478.97,26833.798348209722
214,46,295,2,1,2,650593.3372563366,0.15,12720.97,650774.6110788366
215,51,587,1,1,1,114763.87312870266,0.01,46979.03,114794.87928850266
216,50,587,3,1,3,-91820.09719202736,0.14,15256.18,-91659.90730202736
217,54,551,3,1,2,-72022.03093471643,0.09,4243.51,-72001.02556021643
218,52,551,3,1,3,33970.87003446786,0.16,61110.34,34322.865592867856
219,55,294,1,1,1,17458.105848037885,0.14,57864.69,17790.249168637885
220,55,561,1,1,1,-108542.57872303748,0.25,175353.24,-108542.57872303748
221,58,545,2,1,5,-368455.2304815564,0.22,147944.41,-368455.2304815564
222,59,561,1,1,1,-106175.68692932502,0.24,95829.59,-106175.68692932502
223,46,308,1,1,1,440.23728343586095,0.01,56891.27,489.7326883358609
224,51,538,2,1,3,-122836.98640889474,0.08,97494.22,-122836.98640889474
225,53,538,2,1,3,59514.00203537222,0.15,38065.19,59828.03985287222
226,39,586,2,1,4,-88044.8395738676,0.21,33020.69,-88044.8395738676
227,48,578,1,1,1,93821.44981223278,0.2,74689.1,94762.53247223278
228,62,591,3,1,3,96626.70014001676,0.23,107864.87,96626.70014001676
229,63,591,1,1,1,161912.4211704895,0.19,116974.18,161912.4211704895
230,54,625,2,1,5,-35319.092950118174,0.11,94859.55,-35319.092950118174
